City,State,ZIP,Name,Datetime,Weather Main,Temperature,Wind Speed,Sunrise
Pasadena,California,91125,Pasadena,2024-01-05 07:26:00,Clear,47.61,0.45,06:58:50
Mentone,Texas,79754,Mentone,2024-01-05 09:30:42,Clear,43.41,8.15,07:54:48
Oakfield,Georgia,31772,Leesburg,2024-01-05 10:30:44,Clouds,44.85,5.16,07:36:27
Eloy,Arizona,85131,Eloy,2024-01-05 08:30:45,Clouds,38.97,1.85,07:29:12
Monticello,Minnesota,55362,Monticello,2024-01-05 09:30:16,Clouds,28.45,3.6,07:54:21
New York,New York,10112,Manhattan,2024-01-05 10:28:15,Smoke,31.15,5.66,07:20:10
Prescott,Kansas,66767,Pleasanton,2024-01-05 09:30:47,Clouds,33.04,0.89,07:35:18
Dallas,Texas,75246,Dallas,2024-01-05 09:29:17,Clouds,44.28,6.17,07:30:03
Arcola,Illinois,61910,Arcola,2024-01-05 09:30:18,Clouds,29.26,2.68,07:14:18
Harrison,Idaho,83833,Mica,2024-01-05 07:30:49,Clouds,31.48,1.34,07:34:23
