City,State,ZIP,Name,Datetime,Weather Main,Temperature,Wind Speed,Sunrise
Redfield,South Dakota,57469,Redfield,2023-12-31 11:28:11,Clear,19.87,2.78,08:11:44
Lakewood,Washington,98496,Lakewood,2023-12-31 09:28:11,Fog,41.49,0.0,07:56:26
Morton,Illinois,61550,Morton,2023-12-31 11:28:12,Clouds,31.08,0.89,07:21:20
Saint Mary,Missouri,63673,Perryville,2023-12-31 11:28:13,Clouds,36.9,7.72,07:15:13
South Bend,Indiana,46699,Gulivoire Park,2023-12-31 12:28:14,Mist,31.96,3.6,08:11:45
Glendale Springs,North Carolina,28629,Wilbar,2023-12-31 12:28:14,Clear,42.98,4.12,07:36:40
Pleasant Dale,Nebraska,68423,Milford,2023-12-31 11:28:15,Clouds,27.34,6.69,07:51:55
Harrisburg,Pennsylvania,17108,Paxtonia,2023-12-31 12:31:42,Clouds,42.03,4.47,07:29:46
Abrams,Wisconsin,54101,Oconto Falls,2023-12-31 11:31:43,Clouds,29.86,4.12,07:29:36
Redfield,South Dakota,57469,Redfield,2023-12-31 11:31:44,Clear,19.87,3.14,08:11:44
Wake Island,Hawaii,96898,,2024-01-01 05:31:44,Rain,77.02,8.23,07:26:45
De Young,Pennsylvania,16728,Ridgway,2023-12-31 12:31:45,Clouds,34.29,2.06,07:40:39
Murray,Nebraska,68409,Plattsmouth,2023-12-31 11:31:46,Clouds,28.17,4.02,07:48:08
Dallas Center,Iowa,50063,Dallas Center,2023-12-31 11:31:46,Clouds,29.35,6.25,07:42:45
Mansfield,Illinois,61854,Mahomet,2023-12-31 11:31:47,Clouds,31.26,6.35,07:16:21
Tarpon Springs,Florida,34689,Tarpon Springs,2023-12-31 12:31:48,Clear,65.28,2.24,07:22:17
Redwood Valley,California,95470,Redwood Valley,2023-12-31 09:31:48,Clouds,48.09,0.0,07:32:23
,,10196,New York,2023-12-31 12:34:08,Clouds,42.22,6.69,07:19:47
West Harwich,Massachusetts,02671,Dennis Port,2023-12-31 12:35:05,Clouds,38.21,3.6,07:07:15
Snydertown,Pennsylvania,17877,Riverside,2023-12-31 12:35:06,Clouds,40.35,3.25,07:30:59
Irving,Texas,75039,Oldham,2023-12-31 11:35:07,Clouds,58.5,3.6,07:30:04
Riverside,Washington,98849,Cherokee,2023-12-31 09:35:07,Clouds,38.91,0.0,07:50:10
Lookout Mountain,Georgia,30750,Chattanooga Valley,2023-12-31 12:35:08,Clear,47.39,4.12,07:49:01
Omaha,Nebraska,68135,Chalco,2023-12-31 11:35:09,Clouds,27.34,4.63,07:50:02
Glencoe,Ohio,43928,Saint Clairsville,2023-12-31 12:35:09,Clouds,38.39,4.6,07:45:15
Pasadena,California,91125,Pasadena,2023-12-31 09:35:10,Clear,52.61,1.54,06:58:05
Averill,Vermont,05901,Coaticook,2023-12-31 12:35:11,Clouds,19.15,3.48,07:24:59
